ID,Leaf_shape,Leaf_edge,n_shoot_axis,Tray,Row,Column,Comments
478-14,O,G,4,7,1,5,
478-15,Na,Na,5,7,1,6,
479-6,Na,Na,3,7,2,1,
479-7,Na,Na,2,7,2,2,
479-8,Na,Na,3,7,2,3,
478-18,O,G,2,7,2,4,
478-19,O,G,2,7,2,5,
478-20,O,G,3,7,2,6,
479-13,Na,Na,4,7,3,1,
479-3,Na,Na,3,7,3,2,
479-12,Na,Na,1,7,3,3,diff spec.
479-19,Na,Na,2,7,3,4,
479-4,L,Na,1,7,3,5,
479-5,O,S,2,7,3,6,
438-15,O,G,4,7,4,1,
438-2,O,G,5,7,4,2,
439-1,O,G,2,7,4,3,
439-2,O,G,4,7,4,4,
439-3,O,G,4,7,4,5,
438-8,O,G,6,7,4,6,
438-6,O,G,4,7,5,1,
438-7,O,G,6,7,5,2,
438-9,Na,Na,Na,7,5,3,
438-10,O,G,4,7,5,4,
438-11,O,G,4,7,5,5,
438-12,O,G,4,7,5,6,
433-17,O,G,4,7,6,1,
433-18,O,G,3,7,6,2,
433-19,O,G,2,7,6,3,
438-3,O,G,5,7,6,4,
438-4,L,S,5,7,6,5,
438-5,Na,G,5,7,6,6,
433-10,O,G,5,7,7,1,
433-11,O,G,5,7,7,2,
433-12,O,G,3,7,7,3,
433-13,O,G,4,7,7,4,
438-1,O,G,5,7,7,5,
433-16,O,G,4,7,7,6,
433-5,O,G,5,7,8,1,
433-6,O,G,5,7,8,2,
433-7,O,G,4,7,8,3,
433-8,O,G,3,7,8,4,
433-15,O,G,3,7,8,5,
433-14,O,G,6,7,8,6,
429-4,L,G,4,8,1,1,
429-5,O,G,5,8,1,2,
433-1,Na,Na,Na,8,1,3,
433-2,O,G,5,8,1,4,
433-3,O,G,4,8,1,5,
433-4,O,G,3,8,1,6,
433-9,O,G,5,8,2,1,
478-16,O,G,6,8,2,2,
478-17,O,G,2,8,2,3,
478-7,O,G,4,8,2,4,
478-8,L,S,5,8,2,5,
478-9,O,G,4,8,2,6,
478-10,L,S,7,8,3,1,Diff spec?
478-11,O,G,4,8,3,2,
478-1,Na,Na,2,8,3,3,
478-2,O,G,4,8,3,4,
474-4,L,S,4,8,3,5,
478-3,O,G,4,8,3,6,
478-5,O,G,4,8,4,1,
478-6,O,G,3,8,4,2,
484-8,O,G,4,8,4,3,
482-16,O,G,4,8,4,4,
482-17,O,G,5,8,4,5,
482-8,L,S,4,8,4,6,
482-18,O,G,4,8,5,1,
482-9,L,G,3,8,5,2,
482-10,L,G,3,8,5,3,
482-11,O,G,5,8,5,4,
482-12,O,G,3,8,5,5,
482-2,L,S,4,8,5,6,
482-3,O,G,5,8,6,1,
482-4,O,G,4,8,6,2,
482-5,Na,Na,Na,8,6,3,Diff spec.
482-6,O,G,3,8,6,4,
482-7,L,G,3,8,6,5,
481-13,O,G,5,8,6,6,
481-14,O,G,3,8,7,1,
481-15,O,G,5,8,7,2,
481-16,O,G,4,8,7,3,
482-1,L,S,5,8,7,4,
481-7,O,G,3,8,7,5,
481-8,O,G,3,8,7,6,
481-9,O,G,5,8,8,1,
481-10,O,G,3,8,8,2,
481-11,O,G,5,8,8,3,
481-12,O,G,4,8,8,4,
428-18,O,G,5,8,8,5,
428-19,L,G,5,8,8,6,
444-4,L,G,1,9,1,1,
459-1,O,G,4,9,1,2,
459-7,O,G,5,9,1,3,
459-6,O,G,5,9,1,4,
444-3,O,G,1,9,1,5,
459-5,Na,Na,3,9,1,6,
459-16,O,G,4,9,2,1,
460-1,O,G,5,9,2,2,
459-12,O,G,5,9,2,3,
459-13,Na,Na,Na,9,2,4,Diff spec
459-10,O,G,3,9,2,5,
459-11,O,G,3,9,2,6,
462-2,O,G,4,9,3,1,
462-3,O,G,3,9,3,2,
460-3,L,S,5,9,3,3,
462-1,O,G,5,9,3,4,
460-2,O,S,4,9,3,5,
463-4,O,G,3,9,3,6,
463-3,O,G,3,9,4,1,
463-2,O,G,3,9,4,2,
462-5,O,G,4,9,4,3,
463-1,Na,Na,Na,9,4,4,
462-4,O,G,5,9,4,5,
463-5,Na,Na,Na,9,4,6,
463-8,O,G,3,9,5,1,
463-9,O,G,3,9,5,2,
463-6,O,G,4,9,5,3,
463-7,O,G,3,9,5,4,
465-3,L,G,4,9,5,5,
465-4,L,G,7,9,5,6,
465-1,Na,Na,Na,9,6,1,Diff spec
465-2,Na,Na,Na,9,6,2,Diff spec
463-10,O,G,4,9,6,3,
463-11,O,G,3,9,6,4,
466-4,L,S,6,9,6,5,
466-5,L,S,4,9,6,6,
466-3,L,S,1,9,7,1,
466-11,L,S,5,9,7,2,
466-2,O,G,4,9,7,3,
466-10,L,S,4,9,7,4,
466-1,L,G,2,9,7,5,
466-9,L,G,4,9,7,6,
466-8,L,S,6,9,8,1,
466-16,L,S,5,9,8,2,
466-14,L,S,4,9,8,3,
466-15,Na,Na,3,9,8,4,
466-7,L,Na,5,9,8,5,
468-1,Na,Na,1,9,8,6,Really small
429-3,Na,Na,5,10,1,1,
428-13,L,G,3,10,1,2,
428-20,O,G,5,10,1,3,
429-1,L,G,6,10,1,4,
429-2,L,G,4,10,1,5,
428-14,O,G,5,10,1,6,
428-15,O,G,4,10,2,1,
428-16,L,G,7,10,2,2,
486-1,O,G,4,10,2,3,
486-2,L,S,3,10,2,4,
486-3,L,G,4,10,2,5,
486-4,L,G,4,10,2,6,
484-20,O,G,3,10,3,1,
486-5,O,G,4,10,3,2,
484-21,O,G,5,10,3,3,
484-22,O,G,3,10,3,4,
485-1,L,G,3,10,3,5,
485-2,L,G,4,10,3,6,
484-14,Na,Na,3,10,4,1,
484-15,Na,Na,5,10,4,2,
484-16,O,G,6,10,4,3,
484-17,L,G,4,10,4,4,
484-19,O,G,3,10,4,5,
484-18,L,Na,2,10,4,6,
442-1,O,G,5,10,5,1,
442-2,O,G,5,10,5,2,
442-3,O,G,6,10,5,3,
442-4,Na,Na,Na,10,5,4,
444-1,L,S,1,10,5,5,
444-2,L,Na,4,10,5,6,
439-15,O,G,4,10,6,1,
441-1,O,G,5,10,6,2,
441-2,Na,Na,3,10,6,3,
441-3,O,G,3,10,6,4,
441-4,O,G,3,10,6,5,
439-9,O,G,5,10,6,6,
439-10,O,G,5,10,7,1,
439-11,O,G,2,10,7,2,
439-12,O,Na,3,10,7,3,
439-13,Na,Na,2,10,7,4,
439-4,Na,Na,4,10,7,5,
439-14,Na,Na,3,10,7,6,
439-5,O,G,5,10,8,1,
459-4,L,S,5,10,8,2,
459-3,Na,Na,5,10,8,3,
459-2,L,S,6,10,8,4,
459-9,O,G,4,10,8,5,
459-8,O,G,3,10,8,6,
466-6,o,g,4,11,1,1,
466-12,na,na,6,11,1,2,
466-13,Na,Na,4,11,1,3,
466-21,Na,Na,Na,11,1,4,
466-20,o,g,4,11,1,5,
466-19,o,g,6,11,1,6,
466-18,o,g,4,11,2,1,
466-17,n,n,5,11,2,2,
468-2,Na,Na,Na,11,2,3,
468-8,o,g,4,11,2,4,
468-13,n,n,3,11,2,5,
468-3,n,n,4,11,2,6,
468-9,n,n,4,11,3,1,
468-4,n,n,5,11,3,2,
469-2,n,n,6,11,3,3,
468-14,o,g,8,11,3,4,
470-3,n,n,1,11,3,5,
468-5,n,n,4,11,3,6,
468-10,o,g,4,11,4,1,
469-3,n,g,4,11,4,2,
468-15,n,n,1,11,4,3,
470-4,o,g,3,11,4,4,
